Age,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Final_Grade
22,46,Reading/Writing,17,No,54,71,78,No,High,26,5,B
21,5,Reading/Writing,20,Yes,63,84,54,Yes,Medium,14,8,B
23,23,Reading/Writing,7,Yes,61,98,50,Yes,Low,4,4,A
23,10,Reading/Writing,17,No,52,61,51,Yes,High,17,4,C
25,45,Kinesthetic,20,Yes,75,42,92,Yes,Medium,28,6,D
21,48,Visual,6,Yes,66,78,86,Yes,Medium,14,7,B
27,31,Reading/Writing,1,Yes,79,57,58,No,Low,20,7,C
24,33,Auditory,18,Yes,59,62,69,No,Low,8,10,C
19,23,Visual,6,No,56,59,81,Yes,Medium,27,10,C
28,23,Visual,2,No,76,89,98,No,High,28,10,A
27,13,Reading/Writing,5,No,79,63,80,Yes,Medium,5,8,C
28,36,Kinesthetic,0,No,52,48,68,Yes,High,15,8,D
28,16,Visual,10,Yes,67,57,55,Yes,High,30,10,C
21,15,Kinesthetic,16,No,97,95,72,Yes,Medium,4,4,A
29,26,Auditory,0,Yes,73,65,79,No,Medium,2,8,C
24,10,Visual,2,No,61,40,75,No,Low,23,5,D
25,30,Auditory,4,No,58,81,57,Yes,Medium,27,8,B
21,48,Kinesthetic,8,No,89,96,61,Yes,High,11,6,A
25,24,Visual,2,No,73,79,70,No,High,15,7,B
22,39,Kinesthetic,6,Yes,64,74,52,Yes,Medium,20,4,B
28,29,Auditory,19,No,99,83,92,No,Low,4,8,B
26,40,Visual,2,Yes,91,59,61,Yes,Medium,23,7,C
29,30,Reading/Writing,17,Yes,92,77,52,No,Medium,2,7,B
26,14,Kinesthetic,16,Yes,89,73,67,Yes,Low,6,5,B
28,32,Kinesthetic,2,No,66,79,61,No,Medium,20,8,B
21,10,Kinesthetic,4,Yes,58,58,88,Yes,High,5,4,C
18,15,Reading/Writing,0,Yes,97,64,57,Yes,Medium,7,9,C
20,11,Kinesthetic,17,Yes,95,97,92,No,Medium,4,10,A
28,27,Reading/Writing,14,Yes,83,45,74,Yes,High,9,9,D
27,12,Visual,5,Yes,68,87,52,No,Medium,19,8,A
18,14,Visual,2,Yes,84,80,84,No,Low,7,9,B
21,42,Kinesthetic,5,No,53,84,93,Yes,Low,16,4,B
27,40,Visual,19,No,60,83,57,Yes,Low,21,10,B
23,21,Auditory,11,No,79,56,84,Yes,Medium,13,5,C
27,17,Auditory,6,No,100,68,96,Yes,Low,13,9,C
23,43,Auditory,14,Yes,67,83,80,Yes,Medium,15,7,B
23,7,Auditory,11,No,73,95,59,Yes,Medium,8,8,A
21,23,Visual,14,Yes,89,70,96,Yes,High,1,6,B
21,12,Reading/Writing,4,Yes,76,44,93,Yes,Low,0,4,D
20,27,Reading/Writing,14,Yes,63,45,73,Yes,Medium,27,6,D
21,17,Visual,18,Yes,93,92,53,Yes,Low,8,7,A
25,42,Reading/Writing,8,Yes,70,88,86,Yes,Low,19,8,A
18,35,Visual,1,No,60,76,85,Yes,Medium,18,6,B
20,37,Reading/Writing,13,Yes,52,55,80,No,Low,5,7,C
28,16,Visual,2,Yes,50,96,68,Yes,Medium,11,5,A
28,20,Visual,11,Yes,93,59,96,No,High,16,5,C
23,30,Kinesthetic,18,No,68,80,77,Yes,Medium,23,5,B
21,30,Auditory,10,No,68,53,69,Yes,Low,13,4,D
21,46,Visual,19,No,91,92,91,No,Medium,15,8,A
26,36,Kinesthetic,11,Yes,60,78,97,Yes,High,18,4,B
20,45,Visual,14,Yes,62,74,58,Yes,High,19,4,B
28,11,Auditory,8,No,89,48,52,No,Medium,2,5,D
23,42,Reading/Writing,8,No,84,54,55,Yes,Low,13,9,D
29,15,Auditory,9,No,89,71,51,Yes,Medium,11,10,B
27,29,Kinesthetic,18,Yes,94,98,57,Yes,Low,29,9,A
18,6,Kinesthetic,4,No,50,46,97,Yes,Medium,0,4,D
24,6,Auditory,8,No,61,63,85,Yes,Medium,22,7,C
19,47,Reading/Writing,11,Yes,56,72,52,Yes,Low,7,9,B
25,20,Kinesthetic,10,Yes,61,59,98,Yes,Medium,21,4,C
22,10,Reading/Writing,15,No,63,80,80,Yes,Low,19,4,B
20,49,Visual,3,Yes,69,47,56,Yes,High,6,9,D
21,24,Visual,0,Yes,71,78,74,Yes,Medium,12,6,B
28,40,Reading/Writing,19,No,90,44,74,Yes,Low,18,9,D
29,8,Visual,1,Yes,91,92,83,No,Low,3,10,A
22,5,Auditory,3,Yes,86,61,96,Yes,Low,7,4,C
27,35,Auditory,8,No,81,53,76,No,Low,22,4,D
27,21,Visual,9,No,72,45,98,No,High,14,6,D
27,43,Reading/Writing,11,Yes,66,80,99,Yes,High,2,6,B
18,16,Visual,20,Yes,76,65,51,Yes,Medium,15,9,C
24,49,Visual,7,No,64,53,63,Yes,High,9,6,D
19,27,Reading/Writing,9,Yes,53,41,64,Yes,Low,1,5,D
28,18,Visual,12,No,74,73,93,Yes,Medium,21,10,B
29,31,Visual,0,Yes,80,94,61,Yes,Low,5,9,A
21,20,Reading/Writing,19,Yes,59,53,74,Yes,Medium,22,4,D
28,39,Kinesthetic,3,No,87,77,89,Yes,Low,8,4,B
27,26,Reading/Writing,9,No,51,65,67,No,Medium,16,6,C
21,39,Auditory,13,Yes,70,75,82,No,Low,4,10,B
23,28,Auditory,12,Yes,65,46,55,Yes,Medium,6,4,D
18,41,Reading/Writing,6,Yes,61,87,70,Yes,Low,29,8,A
18,21,Auditory,8,Yes,87,48,55,No,Medium,30,5,D
26,8,Visual,2,No,88,96,74,Yes,Low,6,6,A
21,26,Auditory,3,Yes,62,81,90,No,Medium,0,10,B
22,32,Auditory,8,No,89,48,60,Yes,Low,29,4,D
23,13,Visual,16,Yes,95,86,51,Yes,Low,22,9,A
24,34,Auditory,13,No,50,79,59,Yes,Medium,13,7,B
23,17,Reading/Writing,18,Yes,85,54,70,Yes,Medium,12,4,D
28,9,Auditory,5,No,76,91,91,Yes,High,20,8,A
27,45,Kinesthetic,4,Yes,85,86,57,No,Medium,2,8,A
29,26,Reading/Writing,4,No,67,78,82,No,Low,15,9,B
20,39,Kinesthetic,20,No,96,84,73,No,High,14,6,B
24,24,Auditory,20,Yes,52,51,96,Yes,Medium,25,10,D
19,29,Kinesthetic,11,Yes,77,69,98,No,Medium,12,5,C
28,14,Kinesthetic,2,No,71,77,65,No,Medium,26,10,B
27,22,Kinesthetic,3,Yes,66,69,65,Yes,Medium,1,9,C
22,38,Auditory,1,No,72,73,77,No,Medium,14,4,B
22,5,Visual,14,Yes,71,71,66,No,Medium,4,9,B
26,8,Visual,1,No,70,54,88,Yes,Low,21,5,D
22,42,Reading/Writing,16,Yes,78,63,89,Yes,High,8,10,C
24,40,Visual,13,No,93,88,53,Yes,Medium,15,5,A
26,36,Kinesthetic,6,Yes,67,88,68,Yes,High,8,10,A
25,38,Reading/Writing,1,Yes,83,51,74,Yes,Low,13,5,D
22,30,Kinesthetic,15,Yes,96,40,75,No,Low,16,8,D
27,32,Visual,15,Yes,71,40,71,No,Medium,4,4,D
18,42,Kinesthetic,17,Yes,98,50,73,Yes,Low,20,5,D
22,23,Reading/Writing,14,No,91,90,76,No,Low,27,10,A
21,37,Reading/Writing,17,Yes,78,61,63,Yes,Medium,12,10,C
18,12,Visual,4,No,54,68,63,Yes,High,23,10,C
29,32,Auditory,4,Yes,64,85,55,Yes,Medium,12,6,A
25,12,Reading/Writing,14,No,72,73,83,Yes,Medium,0,6,B
19,11,Reading/Writing,1,Yes,53,91,100,Yes,High,3,6,A
19,20,Kinesthetic,17,Yes,51,79,65,Yes,Medium,13,8,B
20,41,Visual,10,No,65,91,54,Yes,Medium,22,10,A
26,18,Reading/Writing,14,Yes,52,94,64,No,Low,22,8,A
24,46,Auditory,1,Yes,70,76,93,No,Medium,7,5,B
29,13,Visual,12,Yes,59,58,83,Yes,Medium,1,7,C
25,41,Reading/Writing,13,Yes,55,52,51,Yes,Medium,3,6,D
27,26,Auditory,16,Yes,53,78,98,Yes,Medium,3,5,B
26,48,Kinesthetic,19,Yes,91,60,100,Yes,High,18,6,C
26,34,Visual,4,Yes,61,77,51,No,Low,15,10,B
28,31,Auditory,10,No,78,85,86,No,Medium,27,9,A
20,20,Reading/Writing,8,No,54,44,94,Yes,High,8,8,D
19,37,Kinesthetic,4,Yes,73,45,60,No,Low,16,7,D
27,42,Kinesthetic,19,Yes,73,79,54,No,Low,21,6,B
28,28,Visual,9,No,67,60,53,Yes,Low,7,9,C
27,45,Visual,16,No,55,67,60,Yes,Low,13,9,C
21,8,Reading/Writing,10,Yes,79,75,55,Yes,High,11,9,B
21,23,Kinesthetic,4,Yes,91,84,83,Yes,Medium,19,6,B
28,18,Reading/Writing,8,No,94,55,96,No,Medium,14,9,C
22,8,Kinesthetic,3,No,60,42,68,No,Low,22,8,D
22,49,Kinesthetic,10,No,55,56,56,Yes,Medium,25,10,C
21,25,Auditory,19,Yes,79,77,62,No,Medium,20,4,B
29,12,Visual,20,Yes,98,73,87,No,Medium,16,6,B
27,42,Auditory,14,No,76,77,75,No,Medium,27,8,B
19,48,Visual,2,Yes,71,56,78,Yes,Low,1,5,C
21,46,Visual,19,Yes,51,84,79,Yes,Medium,22,6,B
21,30,Auditory,2,Yes,94,46,51,No,Low,22,7,D
29,12,Visual,3,No,50,45,93,Yes,Medium,30,6,D
22,28,Auditory,3,Yes,66,87,68,No,Medium,13,5,A
28,10,Visual,5,Yes,56,45,99,Yes,Low,12,7,D
20,33,Visual,4,Yes,90,87,64,Yes,Medium,9,6,A
27,41,Visual,15,Yes,66,99,84,No,Medium,14,10,A
25,36,Kinesthetic,18,Yes,78,59,99,No,Medium,4,7,C
21,48,Reading/Writing,17,Yes,97,84,78,Yes,Low,19,7,B
26,5,Auditory,19,Yes,77,59,87,No,Low,9,5,C
27,21,Auditory,0,No,73,89,67,Yes,High,29,6,A
29,21,Auditory,4,No,86,40,89,Yes,Low,25,10,D
29,24,Kinesthetic,5,No,50,52,78,Yes,Medium,30,6,D
22,24,Kinesthetic,4,No,61,71,91,Yes,Medium,28,5,B
28,27,Reading/Writing,0,No,89,46,96,Yes,Medium,0,5,D
21,16,Auditory,19,Yes,58,69,84,Yes,Low,4,4,C
21,24,Kinesthetic,16,Yes,51,64,98,Yes,Low,9,9,C
27,10,Visual,14,Yes,55,85,85,Yes,Low,27,4,A
29,29,Reading/Writing,2,Yes,82,76,68,Yes,Medium,14,7,B
27,6,Kinesthetic,4,No,77,67,99,No,Medium,18,9,C
18,35,Auditory,18,No,57,75,97,No,Medium,23,7,B
29,25,Reading/Writing,11,Yes,57,59,55,Yes,Medium,9,10,C
20,12,Kinesthetic,8,No,67,65,71,Yes,Medium,22,10,C
28,26,Kinesthetic,5,Yes,67,75,84,Yes,Low,19,7,B
20,32,Visual,4,Yes,72,55,86,Yes,Low,28,10,C
22,13,Auditory,6,Yes,85,84,76,Yes,High,1,10,B
28,6,Auditory,0,No,59,88,70,No,Medium,12,5,A
29,29,Kinesthetic,3,No,69,82,79,Yes,Medium,18,4,B
19,17,Reading/Writing,2,No,55,46,71,Yes,High,20,6,D
18,33,Reading/Writing,17,No,79,44,95,Yes,Low,15,10,D
25,39,Auditory,2,Yes,96,92,94,Yes,High,21,10,A
24,10,Visual,16,No,81,68,66,Yes,Medium,11,4,C
19,36,Visual,10,Yes,63,45,59,Yes,High,7,10,D
23,35,Auditory,17,No,75,84,63,No,High,5,9,B
26,39,Visual,5,Yes,77,66,87,Yes,Low,24,5,C
20,25,Reading/Writing,15,Yes,53,94,51,Yes,Medium,20,10,A
27,27,Reading/Writing,18,No,87,81,85,Yes,High,22,10,B
23,12,Visual,9,No,65,42,89,Yes,Medium,0,4,D
18,12,Reading/Writing,17,No,74,66,82,Yes,Low,6,6,C
18,13,Visual,0,No,97,50,85,Yes,Low,4,6,D
23,28,Reading/Writing,1,No,61,71,91,Yes,Low,0,10,B
21,25,Kinesthetic,9,Yes,87,46,64,Yes,High,2,5,D
23,43,Kinesthetic,12,Yes,70,49,81,Yes,Medium,1,9,D
25,34,Kinesthetic,16,Yes,63,67,72,Yes,Medium,5,4,C
26,29,Reading/Writing,14,No,100,54,64,Yes,Medium,17,7,D
24,26,Kinesthetic,12,Yes,59,93,68,Yes,Low,8,6,A
20,39,Reading/Writing,3,Yes,73,82,78,Yes,Medium,29,9,B
25,28,Kinesthetic,5,Yes,97,48,53,Yes,High,19,4,D
26,43,Kinesthetic,17,No,93,69,95,Yes,Medium,0,5,C
25,28,Reading/Writing,18,No,77,62,69,Yes,Low,11,10,C
27,12,Kinesthetic,9,Yes,100,47,58,Yes,Medium,19,9,D
25,26,Auditory,8,Yes,84,92,69,No,High,15,4,A
28,43,Auditory,6,No,90,86,87,Yes,Low,10,6,A
26,42,Visual,10,Yes,68,61,55,Yes,Medium,7,8,C
26,40,Kinesthetic,0,No,91,52,51,No,Medium,29,7,D
25,33,Auditory,15,No,64,50,93,Yes,Low,1,6,D
19,15,Visual,1,Yes,79,46,59,Yes,High,22,7,D
18,29,Visual,8,No,79,71,86,No,Medium,3,5,B
28,21,Kinesthetic,17,Yes,60,99,78,No,Low,13,8,A
23,5,Auditory,17,Yes,92,40,83,No,Medium,9,10,D
25,11,Auditory,11,No,77,81,98,Yes,High,22,5,B
28,39,Reading/Writing,16,No,83,58,77,No,High,9,8,C
20,10,Auditory,3,No,52,75,77,Yes,Low,22,7,B
21,40,Auditory,1,Yes,91,57,70,No,Low,20,5,C
28,15,Visual,14,No,82,98,97,No,High,10,8,A
18,21,Kinesthetic,13,No,100,47,67,No,Medium,12,10,D
27,5,Visual,8,Yes,99,60,89,No,Medium,8,8,C
25,27,Auditory,17,No,82,84,78,No,Low,30,7,B
28,46,Auditory,20,No,67,50,51,Yes,Medium,10,10,D
25,9,Kinesthetic,14,No,95,42,59,No,Medium,22,10,D
24,45,Kinesthetic,14,Yes,92,41,74,Yes,Medium,8,4,D
24,24,Visual,16,Yes,98,50,80,Yes,Medium,1,10,D
20,44,Auditory,15,Yes,93,60,96,No,Low,19,6,C
21,28,Auditory,8,Yes,53,84,70,No,High,12,8,B
21,31,Kinesthetic,18,Yes,61,92,85,Yes,Medium,6,6,A
22,33,Kinesthetic,5,Yes,64,85,52,No,Medium,2,6,A
24,38,Auditory,6,Yes,100,84,99,Yes,Medium,7,9,B
19,40,Reading/Writing,16,Yes,71,42,94,Yes,Medium,26,6,D
25,16,Reading/Writing,17,Yes,84,63,91,Yes,Medium,0,8,C
23,16,Auditory,1,Yes,79,59,98,Yes,Medium,9,5,C
22,44,Kinesthetic,9,Yes,95,100,74,No,Medium,28,8,A
19,26,Kinesthetic,0,Yes,67,74,89,No,Medium,4,4,B
28,12,Reading/Writing,3,No,95,52,78,Yes,Medium,5,8,D
23,48,Reading/Writing,15,Yes,51,64,50,Yes,Low,14,7,C
19,9,Auditory,5,Yes,100,49,95,Yes,Low,13,8,D
21,23,Reading/Writing,2,Yes,54,98,95,No,Medium,0,5,A
23,38,Visual,5,Yes,70,76,76,Yes,Medium,16,4,B
27,23,Auditory,11,Yes,68,55,80,No,Medium,9,6,C
20,30,Reading/Writing,11,Yes,54,80,89,Yes,Low,1,5,B
24,40,Reading/Writing,4,Yes,95,73,87,Yes,Medium,21,4,B
25,48,Auditory,14,No,76,63,71,Yes,High,1,6,C
22,48,Visual,6,Yes,96,91,95,No,Medium,16,5,A
26,8,Visual,18,No,72,70,90,Yes,Medium,10,7,B
26,38,Auditory,19,No,64,52,63,Yes,Low,9,6,D
27,46,Kinesthetic,13,No,82,89,62,Yes,Medium,1,5,A
23,49,Kinesthetic,11,Yes,68,93,56,No,High,29,7,A
21,8,Reading/Writing,9,Yes,57,78,63,No,Medium,19,6,B
23,10,Auditory,0,No,53,69,79,Yes,Low,13,7,C
25,13,Auditory,5,No,68,67,51,Yes,High,18,5,C
21,7,Kinesthetic,14,No,61,46,81,Yes,Low,18,9,D
18,19,Kinesthetic,10,No,92,96,92,No,Medium,30,6,A
23,20,Visual,13,Yes,77,74,79,Yes,Medium,13,6,B
23,43,Reading/Writing,10,No,85,44,97,No,High,28,4,D
20,11,Kinesthetic,8,Yes,81,77,59,Yes,Medium,13,6,B
23,12,Reading/Writing,3,No,92,74,73,Yes,Medium,8,7,B
26,42,Auditory,14,No,52,100,95,No,High,3,8,A
19,44,Visual,2,Yes,70,87,84,No,Medium,13,4,A
24,7,Auditory,16,No,95,53,55,No,Medium,26,7,D
22,8,Reading/Writing,19,No,62,92,53,Yes,Low,26,9,A
29,43,Reading/Writing,1,No,65,47,89,Yes,Low,19,9,D
28,35,Auditory,14,No,72,51,56,Yes,High,13,5,D
20,23,Visual,12,No,54,47,80,No,Medium,17,5,D
29,28,Visual,9,Yes,58,84,53,Yes,Medium,0,9,B
19,34,Auditory,17,No,64,60,69,Yes,Low,26,8,C
24,21,Auditory,20,No,51,60,56,Yes,High,2,8,C
27,5,Auditory,19,Yes,89,47,80,Yes,Low,28,10,D
25,49,Auditory,12,No,76,70,55,No,Low,17,9,B
26,15,Kinesthetic,3,Yes,55,86,55,Yes,High,12,8,A
29,17,Kinesthetic,9,No,52,69,67,No,High,20,8,C
25,10,Auditory,10,Yes,91,64,69,Yes,High,7,10,C
20,6,Auditory,13,Yes,90,77,87,Yes,Medium,10,4,B
26,12,Kinesthetic,5,No,89,78,61,No,High,1,5,B
18,30,Reading/Writing,5,No,77,55,56,Yes,High,20,9,C
19,44,Reading/Writing,0,No,64,56,98,No,Medium,27,5,C
22,45,Auditory,7,No,63,75,60,Yes,Low,4,6,B
29,8,Reading/Writing,15,No,64,76,87,Yes,Medium,15,5,B
19,45,Reading/Writing,15,No,92,84,91,Yes,High,18,7,B
27,34,Visual,5,Yes,93,45,89,Yes,Medium,5,8,D
24,26,Visual,7,No,91,42,50,Yes,Low,29,9,D
27,41,Reading/Writing,2,No,51,91,60,Yes,Medium,3,7,A
18,49,Auditory,1,No,100,86,86,No,Low,26,9,A
20,38,Kinesthetic,15,Yes,88,68,77,Yes,High,6,10,C
29,29,Auditory,16,No,90,83,51,Yes,Medium,18,6,B
25,11,Kinesthetic,5,Yes,95,55,67,Yes,High,28,7,C
20,6,Kinesthetic,20,Yes,64,64,57,No,Low,3,9,C
28,47,Kinesthetic,17,No,98,81,75,Yes,Medium,9,4,B
27,44,Auditory,20,Yes,70,89,56,Yes,Medium,24,7,A
25,43,Reading/Writing,14,Yes,56,88,77,Yes,Medium,2,4,A
23,39,Visual,10,No,87,89,77,No,High,18,7,A
21,36,Auditory,12,Yes,91,53,87,No,Medium,1,10,D
27,18,Visual,1,Yes,87,86,51,Yes,Low,1,8,A
18,47,Reading/Writing,6,Yes,64,76,80,Yes,Medium,10,4,B
18,46,Visual,18,No,57,50,87,Yes,Low,14,8,D
23,6,Auditory,6,Yes,62,92,60,No,Low,3,8,A
28,29,Kinesthetic,12,No,75,76,71,Yes,Medium,18,10,B
20,22,Visual,17,Yes,50,45,88,Yes,Medium,5,5,D
23,48,Visual,16,Yes,98,89,63,Yes,Medium,28,7,A
27,20,Kinesthetic,13,No,68,56,61,Yes,Medium,19,6,C
26,16,Kinesthetic,6,Yes,55,95,58,No,Low,17,7,A
18,46,Kinesthetic,8,No,59,69,97,Yes,Medium,21,8,C
28,29,Visual,14,Yes,82,77,86,Yes,Low,2,5,B
18,17,Kinesthetic,13,Yes,68,73,80,No,Medium,6,5,B
27,16,Kinesthetic,19,Yes,87,59,100,No,High,0,4,C
18,23,Auditory,3,No,56,69,74,Yes,Medium,9,7,C
23,34,Reading/Writing,10,Yes,100,59,80,No,Medium,16,4,C
27,9,Reading/Writing,12,Yes,76,47,100,Yes,Medium,14,6,D
29,35,Visual,11,No,81,47,50,No,Medium,21,7,D
23,30,Reading/Writing,19,Yes,52,66,50,Yes,High,10,7,C
26,9,Visual,3,Yes,57,80,64,No,Medium,29,7,B
18,38,Auditory,16,Yes,50,72,62,No,Low,3,6,B
29,25,Reading/Writing,13,Yes,71,59,77,Yes,High,30,4,C
